Product code,Bureau of Meteorology station number,Date,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality Min,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality Max,Randwick_AQI
IDCJAC0009,66037,29/07/2016,0,,Y,18.6,1,N,26.5,1,N,21
IDCJAC0009,66037,30/07/2016,0,,Y,18.6,1,N,26.5,1,N,35
IDCJAC0009,66037,31/07/2016,0,,Y,18.6,1,N,26.5,1,N,31
IDCJAC0009,66037,1/08/2016,0,,Y,18.6,1,N,26.5,1,N,44
IDCJAC0009,66037,2/08/2016,1,1,Y,18.6,1,N,26.5,1,N,43
IDCJAC0009,66037,3/08/2016,16,1,Y,18.6,1,N,26.5,1,N,41
IDCJAC0009,66037,4/08/2016,42,1,Y,18.6,1,N,26.5,1,N,43
IDCJAC0009,66037,5/08/2016,7,1,Y,18.6,1,N,26.5,1,N,42
IDCJAC0009,66037,6/08/2016,3.6,1,Y,18.6,1,N,26.5,1,N,34
IDCJAC0009,66037,7/08/2016,0,1,Y,18.6,1,N,26.5,1,N,40
IDCJAC0009,66037,8/08/2016,0,,Y,18.6,1,N,26.5,1,N,40
IDCJAC0009,66037,9/08/2016,0,,Y,18.6,1,N,26.5,1,N,37
IDCJAC0009,66037,10/08/2016,0,,Y,18.6,1,N,26.5,1,N,36
IDCJAC0009,66037,11/08/2016,0,,Y,18.6,1,N,26.5,1,N,35
IDCJAC0009,66037,12/08/2016,0,,Y,18.6,1,N,26.5,1,N,33
IDCJAC0009,66037,13/08/2016,0,,Y,18.6,1,N,26.5,1,N,36
IDCJAC0009,66037,14/08/2016,0,,Y,18.6,1,N,26.5,1,N,37
IDCJAC0009,66037,15/08/2016,0,,Y,18.6,1,N,26.5,1,N,44
IDCJAC0009,66037,16/08/2016,0,,Y,18.6,1,N,26.5,1,N,43
IDCJAC0009,66037,17/08/2016,0,,Y,18.6,1,N,26.5,1,N,39
IDCJAC0009,66037,18/08/2016,0,,Y,18.6,1,N,26.5,1,N,44
IDCJAC0009,66037,19/08/2016,0,,Y,18.6,1,N,26.5,1,N,43
IDCJAC0009,66037,20/08/2016,0.4,1,Y,18.6,1,N,26.5,1,N,35
IDCJAC0009,66037,21/08/2016,0,1,Y,18.6,1,N,26.5,1,N,37
IDCJAC0009,66037,22/08/2016,0,,Y,18.6,1,N,26.5,1,N,33
IDCJAC0009,66037,23/08/2016,2.4,1,Y,18.6,1,N,26.5,1,N,35
IDCJAC0009,66037,24/08/2016,3.6,1,Y,18.6,1,N,26.5,1,N,40
IDCJAC0009,66037,25/08/2016,53,1,Y,18.6,1,N,26.5,1,N,35
IDCJAC0009,66037,26/08/2016,0,1,Y,18.6,1,N,26.5,1,N,38
IDCJAC0009,66037,27/08/2016,2.4,1,Y,18.6,1,N,26.5,1,N,41
IDCJAC0009,66037,28/08/2016,0,,Y,18.6,1,N,26.5,1,N,39
IDCJAC0009,66037,29/08/2016,0,,Y,18.6,1,N,26.5,1,N,32
IDCJAC0009,66037,30/08/2016,0,,Y,18.6,1,N,26.5,1,N,46
IDCJAC0009,66037,31/08/2016,0,,Y,18.6,1,N,26.5,1,N,33
IDCJAC0009,66037,1/09/2016,0,,Y,18.6,1,N,26.5,1,N,36
IDCJAC0009,66037,2/09/2016,11.6,1,Y,18.6,1,N,26.5,1,N,36
IDCJAC0009,66037,3/09/2016,26,1,Y,18.6,1,N,26.5,1,N,36
IDCJAC0009,66037,4/09/2016,0,,Y,18.6,1,N,26.5,1,N,40
IDCJAC0009,66037,5/09/2016,0,,Y,18.6,1,N,26.5,1,N,37
IDCJAC0009,66037,6/09/2016,0,,Y,18.6,1,N,26.5,1,N,46
IDCJAC0009,66037,7/09/2016,0,,Y,18.6,1,N,26.5,1,N,52
IDCJAC0009,66037,8/09/2016,0,,Y,18.6,1,N,26.5,1,N,50
IDCJAC0009,66037,9/09/2016,0,,Y,18.6,1,N,26.5,1,N,54
IDCJAC0009,66037,10/09/2016,1.6,1,Y,18.6,1,N,26.5,1,N,46
IDCJAC0009,66037,11/09/2016,0,,Y,18.6,1,N,26.5,1,N,42
IDCJAC0009,66037,12/09/2016,0,,Y,18.6,1,N,26.5,1,N,48
IDCJAC0009,66037,13/09/2016,0,,Y,18.6,1,N,26.5,1,N,41
IDCJAC0009,66037,14/09/2016,2.4,1,Y,18.6,1,N,26.5,1,N,35
IDCJAC0009,66037,15/09/2016,0,,Y,18.6,1,N,26.5,1,N,33
IDCJAC0009,66037,16/09/2016,0.2,1,Y,18.6,1,N,26.5,1,N,32
IDCJAC0009,66037,17/09/2016,0,,Y,18.6,1,N,26.5,1,N,36
IDCJAC0009,66037,18/09/2016,0,,Y,18.6,1,N,26.5,1,N,28
IDCJAC0009,66037,19/09/2016,11,1,Y,18.6,1,N,26.5,1,N,32
IDCJAC0009,66037,20/09/2016,0,,Y,18.6,1,N,26.5,1,N,42
IDCJAC0009,66037,21/09/2016,0,,Y,18.6,1,N,26.5,1,N,37
IDCJAC0009,66037,22/09/2016,1,1,Y,18.6,1,N,26.5,1,N,24
IDCJAC0009,66037,23/09/2016,1.4,1,Y,18.6,1,N,26.5,1,N,39
IDCJAC0009,66037,24/09/2016,0,,Y,18.6,1,N,26.5,1,N,42
IDCJAC0009,66037,25/09/2016,4.2,1,Y,18.6,1,N,26.5,1,N,34
IDCJAC0009,66037,26/09/2016,5.6,1,Y,18.6,1,N,26.5,1,N,44
IDCJAC0009,66037,27/09/2016,0,,Y,18.6,1,N,26.5,1,N,35
IDCJAC0009,66037,28/09/2016,0,,Y,18.6,1,N,26.5,1,N,42
IDCJAC0009,66037,29/09/2016,2.2,1,Y,18.6,1,N,26.5,1,N,41
IDCJAC0009,66037,30/09/2016,0.6,1,Y,18.6,1,N,26.5,1,N,28
IDCJAC0009,66037,1/10/2016,0,,Y,18.6,1,N,26.5,1,N,35
IDCJAC0009,66037,2/10/2016,0,,Y,18.6,1,N,26.5,1,N,48
IDCJAC0009,66037,3/10/2016,0,,Y,18.6,1,N,26.5,1,N,39
IDCJAC0009,66037,4/10/2016,0,,Y,18.6,1,N,26.5,1,N,39
IDCJAC0009,66037,5/10/2016,0,1,Y,18.6,1,N,26.5,1,N,35
IDCJAC0009,66037,6/10/2016,0,,Y,18.6,1,N,26.5,1,N,44
IDCJAC0009,66037,7/10/2016,0,,Y,18.6,1,N,26.5,1,N,47
IDCJAC0009,66037,8/10/2016,0,,Y,18.6,1,N,26.5,1,N,53
IDCJAC0009,66037,9/10/2016,0,,Y,18.6,1,N,26.5,1,N,41
IDCJAC0009,66037,10/10/2016,0,,Y,18.6,1,N,26.5,1,N,54
IDCJAC0009,66037,11/10/2016,3.6,1,Y,18.6,1,N,26.5,1,N,47
IDCJAC0009,66037,12/10/2016,0,,Y,18.6,1,N,26.5,1,N,44
IDCJAC0009,66037,13/10/2016,6,1,Y,18.6,1,N,26.5,1,N,41
IDCJAC0009,66037,14/10/2016,0.2,1,Y,18.6,1,N,26.5,1,N,42
IDCJAC0009,66037,15/10/2016,0,,Y,18.6,1,N,26.5,1,N,52
IDCJAC0009,66037,16/10/2016,0,,Y,18.6,1,N,26.5,1,N,196
IDCJAC0009,66037,17/10/2016,0,,Y,18.6,1,N,26.5,1,N,38
IDCJAC0009,66037,18/10/2016,3,1,Y,18.6,1,N,26.5,1,N,38
