Sydney central-east,ÊRANDWICK,"33.9164¡ S, 151.2365¡ E",,
Sydney central-east,ÊROZELLE,"33.8649¡ S, 151.1674¡ E",,
Sydney central-east,ÊLINDFIELD,"33.7767¡ S, 151.1712¡ E",,
Sydney central-east,ÊCHULLORA,"33.8908¡ S, 151.0475¡ E",,
Sydney central-east,ÊEARLWOOD,"33.9202¡ S, 151.1268¡ E",,
ÊSydney north-west,ÊRICHMOND,"33.6000¡ S, 150.7500¡ E",,
ÊSydney north-west,ÊST MARYS,"33.7589¡ S, 150.7708¡ E",,
ÊSydney north-west,ÊVINEYARD,"33.6502¡ S, 150.8562¡ E",,
ÊSydney north-west,ÊPROSPECT,"33.7980¡ S, 150.9160¡ E",,
ÊSydney south-west,ÊBARGO,"34.3000¡ S, 150.5833¡ E",,
ÊSydney south-west,ÊBRINGELLY,"33.9218¡ S, 150.7323¡ E",,
ÊSydney south-west,ÊCAMDEN,"34.0544¡ S, 150.6958¡ E",,
ÊSydney south-west,ÊCAMPBELLTOWN WEST,"34.0650¡ S, 150.8142¡ E",,
ÊSydney south-west,ÊLIVERPOOL,"33.9209¡ S, 150.9231¡ E",,
ÊSydney south-west,ÊMACARTHUR,"34.0650¡ S, 150.8142¡ E",,
ÊSydney south-west,ÊOAKDALE,"34.0817¡ S, 150.5011¡ E",,
ÊIllawarra,ÊWOLLONGONG,"34.4278¡ S, 150.8931¡ E",,
ÊIllawarra,ÊKEMBLA GRANGE,"34.4917¡ S, 150.7917¡ E",,
ÊIllawarra,ÊALBION PARK STH,"34.5759¡ S, 150.7737¡ E",,
ÊLower Hunter,ÊWALLSEND,"32.8980¡ S, 151.6680¡ E",,
ÊLower Hunter,ÊNEWCASTLE,"32.9283¡ S, 151.7817¡ E",,
ÊLower Hunter,ÊBERESFIELD,"32.7990¡ S, 151.6350¡ E",,
ÊCentral Coast,ÊWyong,"33.2820¡ S, 151.4180¡ E",,
ÊSouth-west slopes,ÊALBURY,"36.0737¡ S, 146.9135¡ E",,
ÊSouth-west slopes,ÊWAGGA WAGGA,"35.1082¡ S, 147.3598¡ E",,
ÊSouth-west slopes,ÊWAGGA WAGGA NTH,"35.0957¡ S, 147.3778¡ E",,
ÊUpper Hunter - Maison Dieu,ÊMAISON DIEU,"32.5695¡ S, 151.1788¡ E",,
ÊCentral tablelands,ÊBATHURST,"33.4193¡ S, 149.5775¡ E",,
ÊUpper Hunter - Muswellbrook,ÊMUSWELLBROOK,"32.2848¡ S, 150.9050¡ E",,
ÊNewcastle local,ÊCARRINGTON,"32.9150¡ S, 151.7680¡ E",,
ÊNewcastle local,ÊMAYFIELD,"32.8974¡ S, 151.7364¡ E",,
ÊNewcastle local,ÊSTOCKTON,"32.9150¡ S, 151.7844¡ E",,
ÊUpper Hunter - Bulga,ÊBULGA,"32.6497¡ S, 151.0108¡ E",,
ÊUpper Hunter - Singleton NW,ÊSINGLETON NW,"32.5695¡ S, 151.1788¡ E",,
ÊUpper Hunter - Aberdeen,ÊABERDEEN,"32.1677¡ S, 150.8733¡ E",,
ÊUpper Hunter - Mt Thorley,ÊMOUNT THORLEY,"32.6165¡ S, 151.1521¡ E",,
ÊUpper Hunter - Wybong,ÊWYBONG,"32.2848¡ S, 150.9050¡ E",,
ÊUpper Hunter - Jerrys Plains,ÊJERRYS PLAINS,"32.5102¡ S, 150.9148¡ E",,
ÊUpper Hunter - Warkworth,ÊWARKWORTH,"32.5695¡ S, 151.1788¡ E",,
ÊNorth-west slopes,ÊTAMWORTH,"31.0927¡ S, 150.9320¡ E",,
ÊUpper Hunter - Singleton,ÊSINGLETON,"32.5695¡ S, 151.1788¡ E",,
ÊUpper Hunter - Camberwell,ÊCAMBERWELL,"32.4807¡ S, 151.0913¡ E",,
ÊUpper Hunter - Muswellbrook NW,ÊMUSWELLBROOK NW,"32.2848¡ S, 150.9050¡ E",,
ÊUpper Hunter - Singleton South,ÊSINGLETON SOUTH,"32.5695¡ S, 151.1788¡ E",,
ÊUpper Hunter - Merriwa,ÊMERRIWA,"32.1500¡ S, 150.3500¡ E",,
